,name,rating,reviews,type,hq,old,employees
9979,Insta Pizza,4.1,27 Reviews,Noida + 1 more,,,
9980,NetCom Learning,4.6,27 Reviews,New York + 10 more,,,
9981,Evolet HealthCare,2.6,27 Reviews,Gurgaon + 1 more,,,
9982,M.J Global,3.7,27 Reviews,New Delhi + 1 more,,,
9983,EPSoft Technologies,3.2,27 Reviews,Hyderabad,,,
9984,NetTantra Technologies,4.2,27 Reviews,Private,Santa Clara,1-50 employees,
9985,Sarthee Consultancy,3.8,27 Reviews,Private,Ahmedabad + 10 more,1-50 employees,
9986,Eicher volvo Commercial ...,3.6,27 Reviews,Mumbai + 8 more,,,
9987,SOC Experts,4.7,27 Reviews,Bengaluru,,,
9988,Sanaatan Group,4.1,27 Reviews,Jammu + 2 more,51-200 employees,,
9989,Augustus Healthcare Solu...,3.2,27 Reviews,Pune,,,
9990,TCS,3.9,,Public,Mumbai + 109 more,10000+ employees,
9991,Accenture,4.0,,Private,Dublin + 89 more,10000+ employees,
